sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,capital,
0.0,81,GDE,-1.0,86032.64581207522,16949.255718995802,343.63816704,AAL,TFS,19,Tenerife Island,EU,false
0.0,150,VKG,-1.0,159319.71446680598,31387.51059073296,545.457408,AAL,TFS,19,Tenerife Island,EU,false
4.333271384288012E-6,145,RYR,5.0,116337.77711065327,17403.536716434544,463.50736128,ABZ,ALC,39,Alicante,EU,false
4.38477413849415E-6,145,TOM,5.0,116337.77711065327,17403.536716434544,463.50736128,ABZ,TFS,39,Tenerife Island,EU,false
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,485.65424640000003,ALG,ALC,64,Alicante,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,463.50736128,ALG,ALC,64,Alicante,AF,true
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,511.9668587,ALG,BCN,64,Barcelona,AF,true
0.0,102,DAH,-1.0,113533.44448670518,12242.487897078096,459.45388455999995,ALG,BCN,64,Barcelona,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,488.62006149,ALG,BCN,64,Barcelona,AF,true
0.0,67,ANE,-1.0,74575.89000597301,8041.63420690424,321.02973,ALG,MAD,64,Madrid,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,554.6302875,ALG,MAD,64,Madrid,AF,true
0.0,52,DAH,-1.0,57879.79522851636,6241.268339686872,151.150848,ALG,PMI,64,Palma De Mallorca,AF,true
0.0,102,RJA,-1.0,113533.44448670518,12242.487897078096,511.9668587,AMM,BCN,80,Barcelona,AS,true
0.0,84,RJA,-1.0,93498.1307537572,10082.048856417257,503.28,AMM,MAD,80,Madrid,AS,true
0.0,186,JAF,58263.0,207031.5752404624,22324.53675349534,1030.41539328,AMS,ACE,602,Lanzarote Island,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,602,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,602,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,602,Málaga,EU,true
0.0,145,RYR,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,602,Málaga,EU,true
0.0,122,EJU,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,AGP,602,Málaga,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,AGP,602,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,602,Alicante,EU,true
0.0,124,TRA,58263.0,138021.05016030825,14883.02450233023,435.84018431999993,AMS,ALC,602,Alicante,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,ALC,602,Alicante,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,602,Barcelona,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,602,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,602,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,602,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,602,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,602,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,602,Barcelona,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,511.9668587,AMS,BCN,602,Barcelona,EU,true
0.0,150,VLG,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,602,Barcelona,EU,true
0.0,150,VLG,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,602,Barcelona,EU,true
0.0,150,VLG,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,602,Barcelona,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,407.4684159,AMS,BIO,602,Bilbao,EU,true
0.0,72,KLC,58263.0,80141.25493179189,8641.756162643358,211.34322572999997,AMS,BIO,602,Bilbao,EU,true
0.0,78,KLC,58263.0,86819.69284277454,9361.902509530308,253.60635709499996,AMS,BIO,602,Bilbao,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,FUE,602,Fuerteventura Island,EU,true
0.0,122,EJU,58263.0,135794.9041899807,14642.975720034581,407.4684159,AMS,FUE,602,Fuerteventura Island,EU,true
0.0,7,ETI,58263.0,7791.510896146434,840.1707380347715,34.687196271,AMS,IBZ,602,Ibiza,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,LPA,602,Gran Canaria Island,EU,true
0.0,145,CND,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,LPA,602,Gran Canaria Island,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,602,Madrid,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,602,Madrid,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,602,Madrid,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,602,Madrid,EU,true
0.0,310,AEA,58263.0,345052.62540077063,37207.56125582558,1792.935,AMS,MAD,602,Madrid,EU,true
0.0,310,AEA,58263.0,345052.62540077063,37207.56125582558,1792.935,AMS,MAD,602,Madrid,EU,true
0.0,122,IBS,58263.0,135794.9041899807,14642.975720034581,581.131125,AMS,MAD,602,Madrid,EU,true
0.0,122,IBS,58263.0,135794.9041899807,14642.975720034581,581.131125,AMS,MAD,602,Madrid,EU,true
0.0,124,TRA,58263.0,138021.05016030825,14883.02450233023,435.84018431999993,AMS,PMI,602,Palma De Mallorca,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,SVQ,602,Sevilla,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,VLC,602,Valencia,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,VLC,602,Valencia,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,407.4684159,AMS,VLC,602,Valencia,EU,true
0.0,78,KLC,58263.0,86819.69284277454,9361.902509530308,253.60635709499996,AMS,VLC,602,Valencia,EU,true
0.0,78,KLC,58263.0,86819.69284277454,9361.902509530308,253.60635709499996,AMS,VLC,602,Valencia,EU,true
0.0,78,JAF,-1.0,86819.69284277454,9361.902509530308,302.26883712,ANR,ALC,6,Alicante,EU,false
1.4671794686490076E-5,145,IBK,3000.0,154009.05731791243,30341.260237708524,463.50736128,ARN,AGP,256,Málaga,EU,true
1.3600259119499224E-5,134,SAS,3000.0,142325.61159034664,28039.509461054786,519.170304,ARN,AGP,256,Málaga,EU,true
1.4671794686490076E-5,145,IBK,3000.0,154009.05731791243,30341.260237708524,463.50736128,ARN,AGP,256,Málaga,EU,true
1.4628520560586017E-5,145,IBK,3000.0,154009.05731791243,30341.260237708524,463.50736128,ARN,ALC,256,Alicante,EU,true
1.3520150121711375E-5,134,VLG,3000.0,142325.61159034664,28039.509461054786,547.298807,ARN,BCN,256,Barcelona,EU,true
1.4563848571566919E-5,145,IBK,3000.0,154009.05731791243,30341.260237708524,488.62006149,ARN,BCN,256,Barcelona,EU,true
1.482426472204955E-5,145,IBK,3000.0,154009.05731791243,30341.260237708524,463.50736128,ARN,LPA,256,Gran Canaria Island,EU,true
1.482426472204955E-5,145,BLX,3000.0,154009.05731791243,30341.260237708524,463.50736128,ARN,LPA,256,Gran Canaria Island,EU,true
