sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,capital,
0.0,150,VKG,-1.0,159319.71446680598,31387.51059073296,545.457408,AAL,LPA,22,Gran Canaria Island,EU,false
0.0,52,IBB,-1.0,57879.79522851636,6241.268339686872,151.150848,AGA,LPA,19,Gran Canaria Island,AF,false
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,485.65424640000003,ALG,ALC,59,Alicante,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,463.50736128,ALG,ALC,59,Alicante,AF,true
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,511.9668587,ALG,BCN,59,Barcelona,AF,true
0.0,83,VLG,-1.0,92385.05776859343,9962.024465269433,443.381312,ALG,BCN,59,Barcelona,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,488.62006149,ALG,BCN,59,Barcelona,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,488.62006149,ALG,BCN,59,Barcelona,AF,true
0.0,67,ANE,-1.0,74575.89000597301,8041.63420690424,321.02973,ALG,MAD,59,Madrid,AF,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,646,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,646,Málaga,EU,true
0.0,145,RYR,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,646,Málaga,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,AGP,646,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,646,Alicante,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,646,Alicante,EU,true
0.0,124,KLM,58263.0,138021.05016030825,14883.02450233023,435.84018431999993,AMS,ALC,646,Alicante,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,ALC,646,Alicante,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,646,Barcelona,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,646,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,646,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,646,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,646,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,646,Barcelona,EU,true
0.0,150,VLG,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,646,Barcelona,EU,true
0.0,150,VLG,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,646,Barcelona,EU,true
0.0,150,FOO,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,646,Barcelona,EU,true
0.0,150,VLG,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,646,Barcelona,EU,true
0.0,124,KLM,58263.0,138021.05016030825,14883.02450233023,365.67395591999997,AMS,BIO,646,Bilbao,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,BIO,646,Bilbao,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,IBZ,646,Ibiza,EU,true
0.0,8,BNJ,58263.0,8904.583881310211,960.1951291825957,48.019518729,AMS,IBZ,646,Ibiza,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,LPA,646,Gran Canaria Island,EU,true
0.0,145,JAF,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,LPA,646,Gran Canaria Island,EU,true
0.0,145,JAF,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,LPA,646,Gran Canaria Island,EU,true
