sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen
0.24855498528650857,58,GDE,-1,50116.1965617116,15043.645875322409,615.1182335999999,AAL,AGP,22
0.6148768445550263,103,TRA,58263,83641.06590992374,15323.791393003628,615.1182335999999,AMS,AGP,324
0.6139785342829833,103,RYR,58263,83641.06590992374,15323.791393003628,615.1182335999999,AMS,AGP,324
0.517397641249705,87,EJU,58263,70648.27897245987,12943.396613507915,615.1182335999999,AMS,AGP,324
0.5691374053746757,96,VLG,58263,77956.72162478331,14282.368676974245,615.1182335999999,AMS,AGP,324
0.6130815112556741,103,TRA,58263,83641.06590992374,15323.791393003628,615.1182335999999,AMS,ALC,324
0.5683058952650913,96,VLG,58263,77956.72162478331,14282.368676974245,615.1182335999999,AMS,ALC,324
0.6112913198541893,103,TRA,58263,83641.06590992374,15323.791393003628,648.4451687999999,AMS,BCN,324
0.5254357974027581,89,KLM,58263,72272.37733964286,13240.945960944875,648.4451687999999,AMS,BCN,324
0.6103981479450256,103,KLM,58263,83641.06590992374,15323.791393003628,648.4451687999999,AMS,BCN,324
0.3296852062134954,56,KLC,58263,45474.75428112359,8331.38172823498,648.4451687999999,AMS,BCN,324
0.6112913198541893,103,KLM,58263,83641.06590992374,15323.791393003628,516.0899016,AMS,BIO,324
0.5254357974027581,89,KLM,58263,72272.37733964286,13240.945960944875,516.0899016,AMS,BIO,324
0.612185773702277,103,TRA,58263,83641.06590992374,15323.791393003628,516.0899016,AMS,IBZ,324
0.6371914583275265,107,VLG,58263,86889.26264428973,15918.890087877548,516.0899016,AMS,IBZ,324
0.6202938377728748,103,TRA,58263,83641.06590992374,15323.791393003628,615.1182335999999,AMS,LPA,324
0.5262046257103841,89,KLM,58263,72272.37733964286,13240.945960944875,736.0469999999999,AMS,MAD,324
0.5262046257103841,89,KLM,58263,72272.37733964286,13240.945960944875,736.0469999999999,AMS,MAD,324
0.33016760828886854,56,KLC,58263,45474.75428112359,8331.38172823498,736.0469999999999,AMS,MAD,324
0.6112913198541893,103,TRA,58263,83641.06590992374,15323.791393003628,615.1182335999999,AMS,PMI,324
0.622109880774435,103,TRA,58263,83641.06590992374,15323.791393003628,615.1182335999999,AMS,TFS,324
0.2613826898953542,44,KLC,58263,35730.16407802568,6546.085643613198,129.92478705863445,AMS,VLC,324
0.33016760828886854,56,KLC,58263,45474.75428112359,8331.38172823498,516.0899016,AMS,VLC,324
0.05418393783120893,6,FYL,-1,4872.295101548957,892.6480423108903,455.15939630135307,ANR,AGP,5
0.8677848985425806,96,SAS,3000,82950.94603317784,24899.827655706045,615.1182335999999,ARN,AGP,103
0.9347954635597229,103,NSW,3000,88999.4525147637,26715.440088934625,615.1182335999999,ARN,ALC,103
0.932080484286478,103,NAX,3000,88999.4525147637,26715.440088934625,615.1182335999999,ARN,PMI,103
0.8652646495266347,96,SAS,3000,82950.94603317784,24899.827655706045,615.1182335999999,ARN,PMI,103
0.13832683942142968,87,AEE,3309,70648.27897245987,12943.396613507915,736.0469999999999,ATH,MAD,127
1.5440355625088287,168,ETD,-1,136424.2628433708,24994.145184704932,1918.8384364291235,AUH,BCN,64
2.3206703143540914,143,TPA,-1,116123.03325358345,21274.778341742902,2178.0643030034817,BAQ,MAD,11
0.08352310659335471,21,FRF,263,17053.03285542135,3124.2681480881165,62.80498851697926,BEG,VIT,32
0.09029525037119428,23,VKA,263,18677.13122260433,3421.8174955250815,62.80498851697926,BEG,VIT,32
0.5195153288351778,103,RYR,302,63379.66656037264,12567.436463192913,648.4451687999999,BGY,BCN,53
0.5202820425945487,103,MAY,302,63379.66656037264,12567.436463192913,516.0899016,BGY,IBZ,53
0.5218188116814988,103,RYR,302,63379.66656037264,12567.436463192913,736.0469999999999,BGY,MAD,53
0.5195153288351778,103,RYR,302,63379.66656037264,12567.436463192913,615.1182335999999,BGY,PMI,53
