sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,continente,capital,origenNombre,destinoNombre
0.0,145,IBK,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,AGP,25,Málaga,EU,false,Aalborg Airport,Málaga Airport
0.0,27,VKA,-1.0,30052.97059942196,3240.658560991261,157.722624,ABV,PMI,22,Palma De Mallorca,AF,true,Nnamdi Azikiwe International Airport,Palma De Mallorca Airport
4.7736435717942593E-5,145,RYR,5.0,116337.77711065327,17403.536716434544,463.50736128,ABZ,ALC,62,Alicante,EU,false,Aberdeen Dyce Airport,Alicante International Airport
7.212316572406105E-6,145,RYR,-1.0,95409.28810662041,14273.089231591599,388.88697393,AHO,GRO,9,Girona,EU,false,Alghero-Fertilia Airport,Girona Airport
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,511.9668587,ALG,BCN,28,Barcelona,AF,true,Houari Boumediene Airport,Barcelona International Airport
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,488.62006149,ALG,BCN,28,Barcelona,AF,true,Houari Boumediene Airport,Barcelona International Airport
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,554.6302875,ALG,MAD,28,Madrid,AF,true,Houari Boumediene Airport,Adolfo Suárez Madrid–Barajas Airport
0.0,84,RJA,-1.0,93498.1307537572,10082.048856417257,443.381312,AMM,BCN,78,Barcelona,AS,true,Queen Alia International Airport,Barcelona International Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,650,Lanzarote Island,EU,true,Amsterdam Airport Schiphol,Lanzarote Airport
0.0,145,JAF,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,650,Lanzarote Island,EU,true,Amsterdam Airport Schiphol,Lanzarote Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,650,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,AGP,650,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
