sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,capital,
0.0,145,IBK,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,AGP,23,Málaga,EU,false
0.0,122,VLG,-1.0,129580.03443300219,25528.508613796137,511.9668587,AAL,BCN,23,Barcelona,EU,false
0.0,145,NSW,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,LPA,23,Gran Canaria Island,EU,false
0.0,140,DTR,-1.0,148698.4001690189,29295.009884684107,479.923657728,AAL,LPA,23,Gran Canaria Island,EU,false
0.0,81,GDE,-1.0,86032.64581207522,16949.255718995802,343.63816704,AAL,LPA,23,Gran Canaria Island,EU,false
0.0,122,DTR,-1.0,129580.03443300219,25528.508613796137,485.65424640000003,AAR,TFS,5,Tenerife Island,EU,false
0.0,13,NJE,-1.0,14469.94880712909,1560.317084921718,121.025826816,ACH,AGP,13,Málaga,EU,false
0.0,145,NAX,-1.0,154009.05731791243,30341.260237708524,463.50736128,AES,LPA,11,Gran Canaria Island,EU,false
0.0,124,SAS,-1.0,131704.2972925596,25947.00875500591,435.84018431999993,AES,LPA,11,Gran Canaria Island,EU,false
1.4905454140347915E-4,145,RYR,-1.0,95409.28810662041,14273.089231591599,388.88697393,AHO,GRO,10,Girona,EU,false
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,485.65424640000003,ALG,ALC,63,Alicante,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,463.50736128,ALG,ALC,63,Alicante,AF,true
0.0,83,VLG,-1.0,92385.05776859343,9962.024465269433,443.381312,ALG,BCN,63,Barcelona,AF,true
0.0,83,VLG,-1.0,92385.05776859343,9962.024465269433,443.381312,ALG,BCN,63,Barcelona,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,488.62006149,ALG,BCN,63,Barcelona,AF,true
0.0,67,ANE,-1.0,74575.89000597301,8041.63420690424,321.02973,ALG,MAD,63,Madrid,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,554.6302875,ALG,MAD,63,Madrid,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,554.6302875,ALG,MAD,63,Madrid,AF,true
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,407.4684159,ALG,VLC,63,Valencia,AF,true
0.0,102,RJA,-1.0,113533.44448670518,12242.487897078096,581.131125,AMM,MAD,82,Madrid,AS,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,556,Lanzarote Island,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,556,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,556,Málaga,EU,true
0.0,145,RYR,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,556,Málaga,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,556,Málaga,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,556,Málaga,EU,true
0.0,124,TRA,58263.0,138021.05016030825,14883.02450233023,435.84018431999993,AMS,ALC,556,Alicante,EU,true
0.0,124,TRA,58263.0,138021.05016030825,14883.02450233023,435.84018431999993,AMS,ALC,556,Alicante,EU,true
0.0,101,EJU,58263.0,112420.3715015414,12122.46350593027,420.593664,AMS,ALC,556,Alicante,EU,true
0.0,157,KLM,58263.0,174752.45867071286,18843.82941020844,519.26888064,AMS,ALC,556,Alicante,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,556,Barcelona,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,556,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,556,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,556,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,556,Barcelona,EU,true
0.0,124,KLM,58263.0,138021.05016030825,14883.02450233023,459.45388455999995,AMS,BCN,556,Barcelona,EU,true
