sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,capital,
0.0,145,IBK,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,AGP,27,Málaga,EU,false
3.683280654345126E-5,145,RYR,5.0,116337.77711065327,17403.536716434544,463.50736128,ABZ,ALC,71,Alicante,EU,false
7.212316572406105E-6,145,RYR,-1.0,95409.28810662041,14273.089231591599,388.88697393,AHO,GRO,8,Girona,EU,false
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,511.9668587,ALG,BCN,30,Barcelona,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,488.62006149,ALG,BCN,30,Barcelona,AF,true
0.0,67,ANE,-1.0,74575.89000597301,8041.63420690424,321.02973,ALG,MAD,30,Madrid,AF,true
0.0,84,RJA,-1.0,93498.1307537572,10082.048856417257,443.381312,AMM,BCN,78,Barcelona,AS,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,635,Lanzarote Island,EU,true
0.0,145,JAF,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,635,Lanzarote Island,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,635,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,635,Málaga,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,AGP,635,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,635,Alicante,EU,true
0.0,145,TVF,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,635,Alicante,EU,true
0.0,124,TRA,58263.0,138021.05016030825,14883.02450233023,459.45388455999995,AMS,BCN,635,Barcelona,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,635,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,635,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,635,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,635,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,635,Barcelona,EU,true
