sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,capital,
0.0,145,IBK,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,AGP,26,Málaga,EU,false
1.949972117032251E-5,145,RYR,5.0,116337.77711065327,17403.536716434544,463.50736128,ABZ,ALC,62,Alicante,EU,false
4.815317628928475E-6,145,RYR,-1.0,95409.28810662041,14273.089231591599,388.88697393,AHO,GRO,9,Girona,EU,false
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,641,Lanzarote Island,EU,true
0.0,145,JAF,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,641,Lanzarote Island,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,641,Málaga,EU,true
0.0,134,VLG,58263.0,149151.78001194602,16083.26841380848,519.170304,AMS,AGP,641,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,641,Alicante,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,641,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,641,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,641,Barcelona,EU,true
0.0,157,KLM,58263.0,174752.45867071286,18843.82941020844,547.402724495,AMS,BCN,641,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,641,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,641,Barcelona,EU,true
0.0,134,VLG,58263.0,149151.78001194602,16083.26841380848,547.298807,AMS,BCN,641,Barcelona,EU,true
0.0,134,VLG,58263.0,149151.78001194602,16083.26841380848,547.298807,AMS,BCN,641,Barcelona,EU,true
0.0,134,VLG,58263.0,149151.78001194602,16083.26841380848,547.298807,AMS,BCN,641,Barcelona,EU,true
0.0,150,FOO,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,641,Barcelona,EU,true
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,407.4684159,AMS,BIO,641,Bilbao,EU,true
0.0,78,KLC,58263.0,86819.69284277454,9361.902509530308,253.60635709499996,AMS,BIO,641,Bilbao,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,FUE,641,Fuerteventura Island,EU,true
0.0,145,JAF,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,FUE,641,Fuerteventura Island,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,LPA,641,Gran Canaria Island,EU,true
0.0,157,KLM,58263.0,174752.45867071286,18843.82941020844,621.35420625,AMS,MAD,641,Madrid,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,641,Madrid,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,641,Madrid,EU,true
0.0,157,KLM,58263.0,174752.45867071286,18843.82941020844,621.35420625,AMS,MAD,641,Madrid,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,641,Madrid,EU,true
0.0,216,BCS,58263.0,240423.76479537567,25925.268487930087,1350.2058749999999,AMS,MAD,641,Madrid,EU,true
0.0,201,AEA,58263.0,223727.67001791904,24124.902620712714,1808.6625,AMS,MAD,641,Madrid,EU,true
0.0,201,AEA,58263.0,223727.67001791904,24124.902620712714,1808.6625,AMS,MAD,641,Madrid,EU,true
0.0,122,IBS,58263.0,135794.9041899807,14642.975720034581,581.131125,AMS,MAD,641,Madrid,EU,true
0.0,122,IBS,58263.0,135794.9041899807,14642.975720034581,581.131125,AMS,MAD,641,Madrid,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,PMI,641,Palma De Mallorca,EU,true
0.0,124,TRA,58263.0,138021.05016030825,14883.02450233023,365.67395591999997,AMS,SVQ,641,Sevilla,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,TFS,641,Tenerife Island,EU,true
0.0,145,CND,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,TFS,641,Tenerife Island,EU,true
0.0,145,TVF,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,VLC,641,Valencia,EU,true
0.0,78,KLC,58263.0,86819.69284277454,9361.902509530308,253.60635709499996,AMS,VLC,641,Valencia,EU,true
6.824415919739632E-6,78,JAF,-1.0,86819.69284277454,9361.902509530308,302.26883712,ANR,AGP,8,Málaga,EU,false
1.482426472204955E-5,145,BLX,3000.0,154009.05731791243,30341.260237708524,388.88697393,ARN,ACE,308,Lanzarote Island,EU,true
1.358018748034611E-5,134,SAS,3000.0,142325.61159034664,28039.509461054786,519.170304,ARN,AGP,308,Málaga,EU,true
1.4650141645464293E-5,145,IBK,3000.0,154009.05731791243,30341.260237708524,463.50736128,ARN,AGP,308,Málaga,EU,true
