sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf
0.6700755555140763,103,RYR,5.0,77696.60577017942,15323.791393003628,463.50736128,ABZ,ALC,14,Alicante
0.6802865889792281,103,TRA,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,AGP,348,Málaga
0.6783024861617414,103,RYR,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,AGP,348,Málaga
0.5732752154319337,87,EJU,58263.0,70648.27897245987,12943.396613507915,485.65424640000003,AMS,AGP,348,Málaga
0.5847407197405723,89,KLM,58263.0,72272.37733964286,13240.945960944875,435.84018431999993,AMS,AGP,348,Málaga
0.6792938285730524,103,TRA,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,ALC,348,Alicante
0.6792938285730524,103,KLM,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,ALC,348,Alicante
0.5716032186756247,87,VLG,58263.0,70648.27897245987,12943.396613507915,485.65424640000003,AMS,ALC,348,Alicante
0.5821843912974332,89,TRA,58263.0,72272.37733964286,13240.945960944875,459.45388455999995,AMS,BCN,348,Barcelona
0.5821843912974332,89,KLM,58263.0,72272.37733964286,13240.945960944875,459.45388455999995,AMS,BCN,348,Barcelona
0.5821843912974332,89,KLM,58263.0,72272.37733964286,13240.945960944875,459.45388455999995,AMS,BCN,348,Barcelona
0.5707690110759149,87,VLG,58263.0,70648.27897245987,12943.396613507915,511.9668587,AMS,BCN,348,Barcelona
0.0418563941455671,6,TYW,58263.0,4872.295101548957,892.6480423108903,77.45317293999999,AMS,BCN,348,Barcelona
0.6773125598100858,103,KLM,58263.0,83641.06590992374,15323.791393003628,388.88697393,AMS,BIO,348,Bilbao
0.6773125598100858,103,KLM,58263.0,83641.06590992374,15323.791393003628,388.88697393,AMS,BIO,348,Bilbao
0.6783024861617414,103,TRA,58263.0,83641.06590992374,15323.791393003628,388.88697393,AMS,IBZ,348,Ibiza
0.29003556725590995,44,KLC,58263.0,35730.16407802568,6546.085643613198,211.34322572999997,AMS,IBZ,348,Ibiza
0.5830352830491371,89,KLM,58263.0,72272.37733964286,13240.945960944875,521.5238999999999,AMS,MAD,348,Madrid
0.5830352830491371,89,KLM,58263.0,72272.37733964286,13240.945960944875,521.5238999999999,AMS,MAD,348,Madrid
0.3658260599523998,56,KLC,58263.0,45474.75428112359,8331.38172823498,361.69318124999995,AMS,MAD,348,Madrid
0.6763240475852524,103,AEA,58263.0,83641.06590992374,15323.791393003628,554.6302875,AMS,MAD,348,Madrid
0.5716032186756247,87,IBE,58263.0,70648.27897245987,12943.396613507915,581.131125,AMS,MAD,348,Madrid
0.6783024861617414,103,TRA,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,PMI,348,Palma De Mallorca
0.7049773030332706,107,VLG,58263.0,86889.26264428973,15918.890087877548,654.5488895999999,AMS,PMI,348,Palma De Mallorca
0.01910917384773112,3,GAC,58263.0,2436.1475507744785,446.32402115544517,25.767933695999997,AMS,PMI,348,Palma De Mallorca
0.6792938285730524,103,TRA,58263.0,83641.06590992374,15323.791393003628,388.88697393,AMS,SVQ,348,Sevilla
0.6773125598100858,103,TRA,58263.0,83641.06590992374,15323.791393003628,388.88697393,AMS,VLC,348,Valencia
0.3658260599523998,56,KLC,58263.0,45474.75428112359,8331.38172823498,253.60635709499996,AMS,VLC,348,Valencia
0.3658260599523998,56,KLC,58263.0,45474.75428112359,8331.38172823498,253.60635709499996,AMS,VLC,348,Valencia
0.8777865683958588,96,SAS,3000.0,82950.94603317784,24899.827655706045,519.170304,ARN,AGP,97,Málaga
0.9469455101482596,103,NSW,3000.0,88999.4525147637,26715.440088934625,463.50736128,ARN,AGP,97,Málaga
0.8765112408661214,96,SAS,3000.0,82950.94603317784,24899.827655706045,519.170304,ARN,ALC,97,Alicante
0.8752377111209131,96,IBE,3000.0,82950.94603317784,24899.827655706045,621.2362499999999,ARN,MAD,97,Madrid
0.8765112408661214,96,SAS,3000.0,82950.94603317784,24899.827655706045,519.170304,ARN,PMI,97,Palma De Mallorca
1.268924987403882,221,AEA,-1.0,179462.8695737199,32879.20289178447,1792.935,ASU,MAD,1,Madrid
0.1629780590193739,96,IBE,3309.0,77956.72162478331,14282.368676974245,621.2362499999999,ATH,MAD,148,Madrid
1.6135140604079694,168,ETD,-1.0,136424.2628433708,24994.145184704932,1725.030417,AUH,BCN,54,Barcelona
2.4059411297628768,143,TPA,-1.0,116123.03325358345,21274.778341742902,1808.6625,BAQ,MAD,4,Madrid
0.6700755555140763,103,RYR,-1.0,77696.60577017942,15323.791393003628,463.50736128,BFS,AGP,23,Málaga
0.466112586187528,72,EZY,-1.0,54312.19044129046,10711.77650773069,420.593664,BFS,ALC,23,Alicante
0.5392151995317259,103,MAY,302.0,63379.66656037264,12567.436463192913,388.88697393,BGY,ACE,68,Lanzarote Island
0.5313230414473877,103,RYR,302.0,63379.66656037264,12567.436463192913,488.62006149,BGY,BCN,68,Barcelona
0.5392151995317259,103,MAY,302.0,63379.66656037264,12567.436463192913,388.88697393,BGY,FUE,68,Fuerteventura Island
0.5328923304715563,103,MAY,302.0,63379.66656037264,12567.436463192913,388.88697393,BGY,IBZ,68,Ibiza
0.5336786836197845,103,MAY,302.0,63379.66656037264,12567.436463192913,554.6302875,BGY,MAD,68,Madrid
0.5321071169458692,103,MAY,302.0,63379.66656037264,12567.436463192913,463.50736128,BGY,PMI,68,Palma De Mallorca
