sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,continente,capital,origenNombre,destinoNombre
0.0,145,IBK,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,AGP,21,Málaga,EU,false,Aalborg Airport,Málaga Airport
0.0,122,VLG,-1.0,129580.03443300219,25528.508613796137,511.9668587,AAL,BCN,21,Barcelona,EU,false,Aalborg Airport,Barcelona International Airport
0.0,145,NSW,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,LPA,21,Gran Canaria Island,EU,false,Aalborg Airport,Gran Canaria Airport
0.0,140,DTR,-1.0,148698.4001690189,29295.009884684107,479.923657728,AAL,LPA,21,Gran Canaria Island,EU,false,Aalborg Airport,Gran Canaria Airport
0.0,81,GDE,-1.0,86032.64581207522,16949.255718995802,343.63816704,AAL,LPA,21,Gran Canaria Island,EU,false,Aalborg Airport,Gran Canaria Airport
0.0,122,DTR,-1.0,129580.03443300219,25528.508613796137,485.65424640000003,AAR,TFS,4,Tenerife Island,EU,false,Aarhus Airport,Tenerife South Airport
0.0,124,SAS,-1.0,131704.2972925596,25947.00875500591,435.84018431999993,AES,LPA,11,Gran Canaria Island,EU,false,Ålesund Airport,Gran Canaria Airport
0.0,145,NSW,-1.0,154009.05731791243,30341.260237708524,463.50736128,AES,LPA,11,Gran Canaria Island,EU,false,Ålesund Airport,Gran Canaria Airport
7.212316572406105E-6,145,RYR,-1.0,95409.28810662041,14273.089231591599,388.88697393,AHO,GRO,9,Girona,EU,false,Alghero-Fertilia Airport,Girona Airport
0.0,102,RJA,-1.0,113533.44448670518,12242.487897078096,581.131125,AMM,MAD,83,Madrid,AS,true,Queen Alia International Airport,Adolfo Suárez Madrid–Barajas Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,553,Lanzarote Island,EU,true,Amsterdam Airport Schiphol,Lanzarote Airport
0.0,122,EJU,58263.0,135794.9041899807,14642.975720034581,407.4684159,AMS,ACE,553,Lanzarote Island,EU,true,Amsterdam Airport Schiphol,Lanzarote Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,553,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,553,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,553,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,553,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,145,RYR,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,553,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,553,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,124,TRA,58263.0,138021.05016030825,14883.02450233023,435.84018431999993,AMS,ALC,553,Alicante,EU,true,Amsterdam Airport Schiphol,Alicante International Airport
0.0,124,TRA,58263.0,138021.05016030825,14883.02450233023,435.84018431999993,AMS,ALC,553,Alicante,EU,true,Amsterdam Airport Schiphol,Alicante International Airport
0.0,101,EJU,58263.0,112420.3715015414,12122.46350593027,420.593664,AMS,ALC,553,Alicante,EU,true,Amsterdam Airport Schiphol,Alicante International Airport
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,553,Alicante,EU,true,Amsterdam Airport Schiphol,Alicante International Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,150,VLG,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,511.9668587,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,150,FOO,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,553,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.0,124,KLM,58263.0,138021.05016030825,14883.02450233023,365.67395591999997,AMS,BIO,553,Bilbao,EU,true,Amsterdam Airport Schiphol,Bilbao Airport
0.0,124,KLM,58263.0,138021.05016030825,14883.02450233023,365.67395591999997,AMS,BIO,553,Bilbao,EU,true,Amsterdam Airport Schiphol,Bilbao Airport
0.0,150,FOO,58263.0,166960.94777456645,18003.658672173668,457.643823,AMS,FUE,553,Fuerteventura Island,EU,true,Amsterdam Airport Schiphol,Fuerteventura Airport
