sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,capital,
4.371841314981815E-5,145,TOM,5.0,116337.77711065327,17403.536716434544,463.50736128,ABZ,TFS,61,Tenerife Island,EU,false
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,511.9668587,AGA,BCN,17,Barcelona,AF,false
0.0,102,RJA,-1.0,113533.44448670518,12242.487897078096,581.131125,AMM,MAD,78,Madrid,AS,true
0.0,167,PLM,-1.0,185883.18852235063,20044.07332168669,1808.6625,AMM,MAD,78,Madrid,AS,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,615,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,615,Málaga,EU,true
0.0,145,RYR,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,615,Málaga,EU,true
0.0,122,EJU,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,AGP,615,Málaga,EU,true
0.0,124,KLM,58263.0,138021.05016030825,14883.02450233023,435.84018431999993,AMS,AGP,615,Málaga,EU,true
0.0,134,VLG,58263.0,149151.78001194602,16083.26841380848,519.170304,AMS,AGP,615,Málaga,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,615,Alicante,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,ALC,615,Alicante,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,615,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,615,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,615,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,615,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,615,Barcelona,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,488.62006149,AMS,BCN,615,Barcelona,EU,true
0.0,134,VLG,58263.0,149151.78001194602,16083.26841380848,547.298807,AMS,BCN,615,Barcelona,EU,true
0.0,134,VLG,58263.0,149151.78001194602,16083.26841380848,547.298807,AMS,BCN,615,Barcelona,EU,true
0.0,134,VLG,58263.0,149151.78001194602,16083.26841380848,547.298807,AMS,BCN,615,Barcelona,EU,true
0.0,150,FOO,58263.0,166960.94777456645,18003.658672173668,575.010139,AMS,BCN,615,Barcelona,EU,true
0.0,124,KLM,58263.0,138021.05016030825,14883.02450233023,365.67395591999997,AMS,BIO,615,Bilbao,EU,true
0.0,124,KLM,58263.0,138021.05016030825,14883.02450233023,365.67395591999997,AMS,BIO,615,Bilbao,EU,true
0.0,122,EJU,58263.0,135794.9041899807,14642.975720034581,407.4684159,AMS,FUE,615,Fuerteventura Island,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,LPA,615,Gran Canaria Island,EU,true
0.0,145,JAF,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,LPA,615,Gran Canaria Island,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,615,Madrid,EU,true
0.0,145,KLM,58263.0,161395.58284874755,17403.536716434544,554.6302875,AMS,MAD,615,Madrid,EU,true
