sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,continente,capital,origenNombre,destinoNombre
0.0,81,GDE,-1.0,86032.64581207522,16949.255718995802,343.63816704,AAL,TFS,14,Tenerife Island,EU,false,Aalborg Airport,Tenerife South Airport
0.0,150,VKG,-1.0,159319.71446680598,31387.51059073296,545.457408,AAL,TFS,14,Tenerife Island,EU,false,Aalborg Airport,Tenerife South Airport
3.0288133408028777E-5,145,RYR,5.0,116337.77711065327,17403.536716434544,463.50736128,ABZ,ALC,24,Alicante,EU,false,Aberdeen Dyce Airport,Alicante International Airport
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,511.9668587,ALG,BCN,23,Barcelona,AF,true,Houari Boumediene Airport,Barcelona International Airport
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,488.62006149,ALG,BCN,23,Barcelona,AF,true,Houari Boumediene Airport,Barcelona International Airport
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,554.6302875,ALG,MAD,23,Madrid,AF,true,Houari Boumediene Airport,Adolfo Suárez Madrid–Barajas Airport
0.0,52,DAH,-1.0,57879.79522851636,6241.268339686872,151.150848,ALG,PMI,23,Palma De Mallorca,AF,true,Houari Boumediene Airport,Palma De Mallorca Airport
0.0,84,RJA,-1.0,93498.1307537572,10082.048856417257,443.381312,AMM,BCN,77,Barcelona,AS,true,Queen Alia International Airport,Barcelona International Airport
0.0,84,RJA,-1.0,93498.1307537572,10082.048856417257,503.28,AMM,MAD,77,Madrid,AS,true,Queen Alia International Airport,Adolfo Suárez Madrid–Barajas Airport
0.0,145,JAF,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,484,Lanzarote Island,EU,true,Amsterdam Airport Schiphol,Lanzarote Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,484,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,484,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,145,RYR,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,484,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,122,EJU,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,AGP,484,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.0,122,VLG,58263.0,135794.9041899807,14642.975720034581,485.65424640000003,AMS,AGP,484,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
