sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,capital,
0.0,145,IBK,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,AGP,16,Málaga,EU,false
0.0,101,VLG,-1.0,107275.27440764935,21134.257131093527,443.381312,AAL,BCN,16,Barcelona,EU,false
0.0,145,NSW,-1.0,154009.05731791243,30341.260237708524,463.50736128,AAL,LPA,16,Gran Canaria Island,EU,false
0.0,140,DTR,-1.0,148698.4001690189,29295.009884684107,479.923657728,AAL,LPA,16,Gran Canaria Island,EU,false
0.0,81,GDE,-1.0,86032.64581207522,16949.255718995802,343.63816704,AAL,LPA,16,Gran Canaria Island,EU,false
0.0,13,NJE,-1.0,13807.708587123183,2720.2509178635237,121.025826816,AAR,PMI,5,Palma De Mallorca,EU,false
0.0,122,DTR,-1.0,129580.03443300219,25528.508613796137,485.65424640000003,AAR,TFS,5,Tenerife Island,EU,false
0.0,124,SAS,-1.0,131704.2972925596,25947.00875500591,435.84018431999993,AES,LPA,11,Gran Canaria Island,EU,false
0.0,145,NSW,-1.0,154009.05731791243,30341.260237708524,463.50736128,AES,LPA,11,Gran Canaria Island,EU,false
4.815317628928475E-6,145,RYR,-1.0,95409.28810662041,14273.089231591599,388.88697393,AHO,GRO,10,Girona,EU,false
0.0,100,VLG,-1.0,111307.29851637763,12002.439114782444,485.65424640000003,ALG,ALC,59,Alicante,AF,true
0.0,119,DAH,-1.0,132455.68523448939,14282.902546591107,463.50736128,ALG,ALC,59,Alicante,AF,true
0.0,83,VLG,-1.0,92385.05776859343,9962.024465269433,443.381312,ALG,BCN,59,Barcelona,AF,true
0.0,83,VLG,-1.0,92385.05776859343,9962.024465269433,443.381312,ALG,BCN,59,Barcelona,AF,true
0.0,87,DAH,-1.0,96837.34970924853,10442.122029860733,389.62132792,ALG,BCN,59,Barcelona,AF,true
0.0,67,ANE,-1.0,74575.89000597301,8041.63420690424,321.02973,ALG,MAD,59,Madrid,AF,true
0.0,87,DAH,-1.0,96837.34970924853,10442.122029860733,442.2573,ALG,MAD,59,Madrid,AF,true
0.0,84,RJA,-1.0,93498.1307537572,10082.048856417257,503.28,AMM,MAD,81,Madrid,AS,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,388.88697393,AMS,ACE,492,Lanzarote Island,EU,true
0.0,122,EJU,58263.0,135794.9041899807,14642.975720034581,407.4684159,AMS,ACE,492,Lanzarote Island,EU,true
0.0,145,TRA,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,492,Málaga,EU,true
0.0,145,RYR,58263.0,161395.58284874755,17403.536716434544,463.50736128,AMS,AGP,492,Málaga,EU,true
